Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:50,04h 00m,02:50,4.0,599,2 Seats available
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:50,05h 35m,04:25,4.8,570,1 Seat available
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:50,04h 30m,03:20,4.8,383,5 Seats available
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:50,05h 15m,04:05,3.6,599,15 Seats available
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:50,05h 25m,04:15,4.5,570,1 Seat available
Reo India Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),22:55,03h 54m,02:49,4.0,665,1 Seat available
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,03h 45m,02:45,3.0,368,5 Seats available
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,04h 50m,03:50,4.2,450,1 Seat available
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:00,05h 55m,04:55,4.6,570,6 Seats available
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,04h 00m,03:00,4.0,630,2 Seats available
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:00,05h 45m,04:45,4.5,570,6 Seats available
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,04h 00m,03:00,4.0,368,5 Seats available
NueGo,A/C Seater (2+2),23:00,05h 35m,04:35,4.0,336,4 Seats available
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:00,04h 55m,03:55,4.5,INR 500,22 Seats available
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:10,05h 00m,04:10,3.6,599,13 Seats available
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),23:15,05h 20m,04:35,4.8,465,3 Seats available
IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),23:15,05h 00m,04:15,4.2,INR 499,2 Seats available
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:15,05h 50m,05:05,4.4,INR 369,9 Seats available
Deltin Travels Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),23:20,05h 10m,04:30,4.1,INR 550,7 Seats available
CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),23:30,06h 00m,05:30,4.2,539,2 Seats available
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,05h 00m,04:30,4.8,INR 749,3 Seats available
Deltin Travels Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),23:40,05h 19m,04:59,4.8,INR 440,1 Seat available
Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),23:40,04h 19m,03:59,3.9,INR 599,28 Seats available
NueGo,Electric A/C Seater/Sleeper (2+1),23:55,05h 15m,05:10,4.5,631,5 Seats available
City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,04h 20m,04:15,3.5,405,4 Seats available
Royal Safari India Travels,A/C Seater Push Back (2+2),23:00,05h 15m,04:15,2.7,INR 475.24,10 Seats available
Royal Safari India Travels,Bharat Benz A/C Semi Sleeper (2+2),23:00,05h 15m,04:15,2.7,440,22 Seats available
Big Bus,A/C Seater / Sleeper (2+2),23:25,05h 25m,04:50,2.8,INR 549,37 Seats available
Ashok Bus Service,A/C Seater / Sleeper (2+2),23:35,06h 10m,05:45,2.7,647,31 Seats available
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:00,05h 20m,04:20,4.5,INR 899,7 Seats available
RK Holiday,A/C Seater / Sleeper (2+2),23:00,05h 30m,04:30,3.1,759,21 Seats available
City Land Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),23:00,05h 40m,04:40,3.5,INR 1000,35 Seats available
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,05h 05m,04:35,4.9,INR 849,2 Seats available
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,05h 30m,05:10,4.5,INR 775,1 Seat available
Apex Bus Travels,A/C Seater / Sleeper (2+2),22:50,04h 25m,03:15,1.5,899,44 Seats available
