Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Sri Sanvi Tours and Travels,A/C Sleeper (2+1),22:20,06h 33m,04:53,4.4,494,13 Seats available
Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,07h 15m,06:05,4.3,375,13 Seats available
Yolo Bus,A/C Seater / Sleeper (2+1),22:15,07h 09m,05:24,4.3,INR 450,11 Seats available
Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:50,07h 35m,05:25,4.3,540,15 Seats available
IntrCity SmartBus,AC Sleeper (2+1),22:40,07h 45m,06:25,4.6,INR 569,11 Seats available
GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),22:30,06h 55m,05:25,4.5,INR 499,29 Seats available
Tirumala Xpress,A/C Sleeper (2+1),21:50,08h 00m,05:50,4.1,INR 549,15 Seats available
Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:50,06h 45m,04:35,4.2,540,12 Seats available
Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:50,06h 50m,04:40,4.0,405,15 Seats available
Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 45m,04:35,4.2,INR 450,19 Seats available
Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:06,06h 18m,04:24,4.9,INR 449,11 Seats available
Go Bus Travels,Non A/C Seater / Sleeper (2+1),21:55,06h 20m,04:15,4.0,475,14 Seats available
Sitara Travels,NON A/C Push Back (2+2),22:00,06h 00m,04:00,4.5,INR 349,17 Seats available
Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),22:10,06h 15m,04:25,4.5,INR 349,18 Seats available
Mayuri Travels,A/C Sleeper (2+1),21:48,05h 42m,03:30,4.5,INR 600,14 Seats available
Komali Travels,Non A/C Seater / Sleeper (2+1),21:47,06h 43m,04:30,4.2,INR 500,16 Seats available
Sai Srinivasa Travels,A/C Sleeper (2+1),21:50,06h 25m,04:15,4.0,INR 700,16 Seats available
Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 15m,04:05,4.1,INR 500,15 Seats available
Ramana Tours And Travels,Non A/C Seater / Sleeper (2+1),21:55,06h 50m,04:45,4.1,485,13 Seats available
Sri Rama Travels,Non A/C Seater / Sleeper (2+1),21:46,06h 29m,04:15,4.2,INR 555,14 Seats available
Eswar Travels,Non A/C Seater / Sleeper (2+1),22:10,06h 25m,04:35,4.0,INR 500,17 Seats available
LG BUS,A/C Seater / Sleeper (2+1),21:50,06h 20m,04:10,New,INR 500,21 Seats available
GMC Travels,A/C Seater / Sleeper (2+1),21:50,05h 40m,03:30,4.3,INR 549,19 Seats available
Jayanthi Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 50m,04:40,4.2,INR 499,11 Seats available
Sree Gowtham Travels,A/C Sleeper (2+1),21:50,07h 42m,05:32,4.2,INR 700,15 Seats available
Jayanthi Travels,A/C Sleeper (2+1),21:55,05h 35m,03:30,4.2,823,15 Seats available
SREE CHAKRA TRAVELS,Non A/C Seater / Sleeper (2+1),21:50,06h 10m,04:00,4.1,INR 460,11 Seats available
KPS Buses,A/C Sleeper (2+1),21:50,06h 40m,04:30,4.4,2700,36 Seats available
LG BUS,A/C Sleeper (2+1),21:50,06h 15m,04:05,New,INR 700,19 Seats available
Sri Ganga Travels,A/C Seater / Sleeper (2+1),21:55,06h 35m,04:30,New,315,19 Seats available
FRESHBUS,Electric A/C Seater (2+2),21:50,07h 55m,05:45,4.6,323,6 Seats available
FRESHBUS,Electric A/C Seater (2+2),21:50,07h 15m,05:05,4.6,349,4 Seats available
NueGo,Electric A/C Seater (2+2),22:20,07h 40m,06:00,4.5,332,5 Seats available
FRESHBUS,Electric A/C Seater (2+2),22:30,07h 25m,05:55,4.6,449,5 Seats available
FRESHBUS,Electric A/C Seater (2+2),23:10,07h 20m,06:30,4.6,349,7 Seats available
IntrCity SmartBus,AC Sleeper (2+1),22:40,08h 05m,06:45,4.6,INR 589,5 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,07h 25m,05:20,4.4,INR 379,9 Seats available
Zingbus Plus,A/C Seater / Sleeper (2+1),22:15,07h 15m,05:30,4.7,425,9 Seats available
Svkdt travels,A/C Sleeper (2+1),22:20,07h 30m,05:50,4.4,INR 589,5 Seats available
IntrCity SmartBus,AC Sleeper (2+1),22:10,07h 55m,06:05,4.4,INR 559,7 Seats available
NueGo,Electric A/C Seater (2+2),22:10,07h 05m,05:15,4.4,428,1 Seat available
NueGo,Electric A/C Seater/Sleeper (2+1),22:35,07h 25m,06:00,4.3,380,1 Seat available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:15,07h 10m,06:25,4.4,INR 319,9 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:25,07h 35m,06:00,4.3,INR 369,7 Seats available
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:00,07h 30m,06:30,4.3,INR 589,6 Seats available
Yolo Bus,A/C Sleeper (2+1),22:31,07h 33m,06:04,4.5,INR 550,4 Seats available
NueGo,Electric A/C Seater (2+2),23:25,07h 05m,06:30,4.3,356,4 Seats available
NueGo,Electric A/C Seater (2+2),21:50,06h 30m,04:20,4.2,332,3 Seats available
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,06h 50m,05:35,4.1,INR 329,10 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:25,07h 40m,06:05,4.2,INR 559,3 Seats available
Sri KVR Travels,A/C Sleeper (2+1),21:50,07h 25m,05:15,4.5,INR 480,10 Seats available
NueGo,Electric A/C Seater (2+2),22:55,07h 40m,06:35,4.3,432,6 Seats available
