Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Royal Cruiser,Volvo A/C Seater (2+2),02:00,04h 00m,06:00,4.1,INR 500,4 Seats available
Pammi Travels,NON A/C Sleeper (2+1),02:00,04h 00m,06:00,3.6,INR 750,22 Seats available
Pammi Travels,Non A/C Seater / Sleeper (2+1),02:00,04h 00m,06:00,3.6,INR 650,23 Seats available
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),06:10,03h 10m,09:20,4.6,INR 486,31 Seats available
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:10,03h 10m,09:20,4.3,INR 486,28 Seats available
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:10,03h 10m,09:20,3.3,INR 486,27 Seats available
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),06:10,03h 10m,09:20,3.4,INR 486,43 Seats available
Greenline,Volvo A/C Seater (2+2),06:30,03h 15m,09:45,4.3,INR 486,21 Seats available
Express Line,Volvo 9600 A/C Seater (2+2),06:50,03h 10m,10:00,4.3,INR 486,29 Seats available
Greenline (Karunamoyee),Volvo A/C Seater (2+2),07:00,03h 15m,10:15,4.4,INR 486,16 Seats available
Greenline (Karunamoyee),Volvo A/C Seater (2+2),07:00,03h 15m,10:15,4.2,INR 486,18 Seats available
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:15,03h 15m,10:30,4.3,INR 486,19 Seats available
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:15,03h 15m,10:30,4.1,INR 486,25 Seats available
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),07:30,03h 15m,10:45,4.0,INR 486,33 Seats available
Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),07:50,04h 01m,11:51,5.0,INR 486,20 Seats available
Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),07:50,04h 00m,11:50,4.5,INR 486,20 Seats available
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:00,03h 30m,11:30,4.3,INR 486,23 Seats available
Greenline,Volvo 9600 Multi Axle Semi-Sleeper (2+2),08:10,02h 50m,11:00,4.3,INR 486,15 Seats available
Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),08:30,02h 40m,11:10,4.2,INR 486,11 Seats available
Express Line (Karunamoyee),Volvo A/C Seater (2+2),08:30,04h 00m,12:30,4.7,INR 486,22 Seats available
