Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
DMR Travels,A/C Sleeper (2+1),22:24,04h 06m,02:30,3.6,INR 700,10 Seats available
Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),22:25,04h 05m,02:30,3.0,INR 444,4 Seats available
Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:25,04h 05m,02:30,3.1,INR 900,11 Seats available
SBS Tours and Travels,Non A/C Seater / Sleeper (2+1),22:25,04h 50m,03:15,4.3,INR 399,14 Seats available
Sri Rama Travels,A/C Seater / Sleeper (2+1),22:25,05h 05m,03:30,3.6,INR 555,14 Seats available
BSR Tours And Travels,NON A/C Seater (2+2),22:25,04h 05m,02:30,3.2,INR 400,17 Seats available
BSR Tours And Travels,A/C Seater / Sleeper (2+1),22:25,04h 45m,03:10,4.9,INR 480,26 Seats available
BSR Tours And Travels,A/C Sleeper (2+1),22:25,04h 05m,02:30,3.7,680,11 Seats available
Sri Sai Balaji Travels,A/C Sleeper (2+1),22:25,04h 35m,03:00,3.9,INR 666,20 Seats available
SAIRAJ TRAVELS,A/C Sleeper (2+1),22:25,05h 05m,03:30,4.2,INR 600,9 Seats available
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:25,04h 50m,03:15,4.3,INR 400,11 Seats available
SAIRAJ TRAVELS,Non A/C Seater / Sleeper (2+1),22:25,05h 05m,03:30,4.1,INR 400,6 Seats available
Siri Tours and Travels,A/C Seater / Sleeper (2+1),22:25,02h 05m,00:30,3.0,INR 555,17 Seats available
Hanuman Travels,A/C Seater / Sleeper (2+1),22:30,05h 00m,03:30,3.9,485,10 Seats available
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:30,05h 15m,03:45,4.7,351,4 Seats available
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:30,05h 00m,03:30,4.5,351,11 Seats available
Bharathi Tours & Travels,A/C Sleeper (2+1),22:30,05h 15m,03:45,4.6,531,18 Seats available
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,05h 00m,03:30,4.3,INR 330,12 Seats available
Mahadevv travels,Non A/C Seater / Sleeper (2+1),22:30,04h 30m,03:00,3.6,INR 500,5 Seats available
Gupta Travels Galaxy,NON A/C Seater / Sleeper (2+2),22:30,04h 45m,03:15,3.8,INR 600,33 Seats available
Sri KVR Travels,A/C Seater / Sleeper (2+1),22:30,05h 30m,04:00,4.7,INR 410,10 Seats available
RRR Travels,A/C Sleeper (2+1),22:30,05h 30m,04:00,3.7,555,12 Seats available
Puri Jagannadh Tours And Travels,Non A/C Seater / Sleeper (2+1),22:35,03h 55m,02:30,3.9,INR 555,5 Seats available
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:35,05h 15m,03:50,4.6,INR 449,8 Seats available
Bharathi Tours & Travels,A/C Sleeper (2+1),22:35,04h 55m,03:30,4.6,531,15 Seats available
Mozo travels,A/C Seater / Sleeper (2+1),22:40,04h 55m,03:35,4.3,INR 500,16 Seats available
Mythri Tours And Travels,A/C Sleeper (2+1),23:00,03h 30m,02:30,4.6,629,4 Seats available
VSR Tours and Travels,A/C Sleeper (2+1),23:00,03h 30m,02:30,4.5,584,15 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:30,05h 00m,04:30,3.0,INR 390,9 Seats available
KVR Tours and Travels,A/C Seater / Sleeper (2+1),22:25,05h 15m,03:40,2.7,413,14 Seats available
Sai Krishna Bus Service,NON A/C Seater / Sleeper (2+2),22:30,02h 30m,01:00,1.8,656,47 Seats available
KVR Tours and Travels,A/C Sleeper (2+1),22:30,05h 00m,03:30,2.7,719,28 Seats available
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),22:25,05h 05m,03:30,2.5,INR 350,12 Seats available
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),22:25,05h 20m,03:45,2.4,INR 400,20 Seats available
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),22:25,05h 25m,03:50,2.5,INR 400,15 Seats available
Morning Star Travels,A/C Sleeper (2+1),22:25,05h 10m,03:35,2.4,INR 690,5 Seats available
Morning Star Travels,A/C Sleeper (2+1),22:30,04h 30m,03:00,2.4,INR 600,18 Seats available
Morning Star Travels,A/C Sleeper (2+1),22:50,04h 20m,03:10,2.0,INR 600,9 Seats available
Mahadevv travels,Non A/C Seater / Sleeper (2+1),22:30,04h 30m,03:00,3.6,INR 3000,33 Seats available
KVR Tours and Travels,A/C Sleeper (2+1),22:25,03h 15m,01:40,2.7,2700,28 Seats available
KVR Tours and Travels,Scania Multi-Axle AC Seater (2+2),22:25,03h 25m,01:50,2.7,2700,43 Seats available
KVR Tours and Travels,Scania Multi-Axle AC Seater (2+2),22:30,05h 00m,03:30,2.7,2700,53 Seats available
